id,name,provider,workspace_type,status,opening_year,region,province,city,suburb,address,latitude,longitude,geocode_status,coordinate_source,coordinate_verified_at,coordinate_confidence,coordinate_review_notes,import_eligible,website_url,booking_url
workspace-gauteng-workshop17-firestation-01,Workshop17 Firestation,Workshop17,coworking,active,,,Gauteng,Johannesburg,Rosebank,"16 Baker St, Rosebank, Johannesburg, 2196",-26.14788898374116,28.040571339979415,verified,google_maps_manual_review,2026-06-04 00:00:00,high,Provider website address matched Google Maps place pin for exact workspace name.,True,,
workspace-gauteng-workshop17-west-street-01,Workshop17 West Street,Workshop17,coworking,active,,,Gauteng,Johannesburg,Sandton,"138 West St, Sandown, Sandton, 2031",-26.106238340370382,28.05707897175672,verified,google_maps_manual_review,2026-06-04 00:00:00,high,Provider website address matched Google Maps place pin for exact workspace name.,True,,
workspace-gauteng-workshop17-hyde-park-corner-01,Workshop17 Hyde Park Corner,Workshop17,coworking,active,,,Gauteng,Johannesburg,Hyde Park,"Cnr Jan Smuts Avenue and William, Nicol Drive, Hyde Park, Johannesburg, 2196",-26.12549496014284,28.033318082307048,verified,google_maps_manual_review,2026-06-04 00:00:00,high,Provider website address matched Google Maps place pin for exact workspace name.,True,,
workspace-gauteng-workshop17-the-bank-01,Workshop17 The Bank,Workshop17,coworking,active,,,Gauteng,Johannesburg,Rosebank,"Corner Tyrwhitt and, 24 Cradock Ave, Rosebank, Johannesburg, 2196",-26.14526833194418,28.042292351620887,verified,google_maps_manual_review,2026-06-04 00:00:00,high,Provider website address matched Google Maps place pin for exact workspace name.,True,,
workspace-gauteng-spaces-atrium-on-5th-01,Spaces Atrium on 5th,Spaces,serviced_office,active,,,Gauteng,Johannesburg,Sandton,"9th Floor, 5th St, Sandhurst, Sandton, 2196",-26.10740455455525,28.052479938126925,verified,google_maps_manual_review,2026-06-04 00:00:00,high,Provider website address matched Google Maps place pin for exact workspace name.,True,,
workspace-gauteng-spaces-menlyn-maine-01,Spaces Menlyn Maine,Spaces,serviced_office,active,,,Gauteng,Pretoria,Menlyn,"Maine, 1 Amarand Ave, Menlyn, Pretoria, 0181",-25.78584912495632,28.283861151608217,verified,google_maps_manual_review,2026-06-04 00:00:00,high,Provider website address matched Google Maps place pin for exact workspace name.,True,,
workspace-gauteng-spaces-waterfall-midrand-01,Spaces Waterfall Midrand,Spaces,serviced_office,active,,,Gauteng,Midrand,Waterfall City,"1st Floor, Gateway West, 22 Magwa Cres, Midrand, 2066",-26.013310155125367,28.10757323812365,verified,google_maps_manual_review,2026-06-04 00:00:00,high,Provider website address matched Google Maps place pin for exact workspace name.,True,,
workspace-gauteng-wework-sandton-01,WeWork Sandton,WeWork,coworking,active,,,Gauteng,Johannesburg,Sandton,"155 West St, Sandown, Sandton, 2031",-26.104121363784582,28.05297931114197,verified,google_maps_manual_review,2026-06-04 00:00:00,high,Provider website address matched Google Maps place pin for exact workspace name.,True,,
workspace-gauteng-tshimologong-digital-innovation-precinct-01,Tshimologong Digital Innovation Precinct,Tshimologong,innovation_hub,active,,,Gauteng,Johannesburg,Braamfontein,"41 Juta St, Braamfontein, Johannesburg, 2017",-26.194455799215408,28.031981026488786,verified,google_maps_manual_review,2026-06-04 00:00:00,high,Provider website address matched Google Maps place pin for exact workspace name.,True,,
workspace-gauteng-regus-rosebank-corner-01,Regus Rosebank Corner,Regus,serviced_office,active,,,Gauteng,Johannesburg,Rosebank,"G flr, Rosebank Corner, 191 Jan Smuts Ave, Parktown North, Randburg, 2193",-26.145478863383,28.03560614183016,verified,google_maps_manual_review,2026-06-04 00:00:00,high,Provider website address matched Google Maps place pin for exact workspace name.,True,,
